,video-games,electronics,grocery-and-gourmet-food,arts-crafts-and-sewing,musical-instruments,video-games_xbox,video-games_nintendo,video-games_pc,video-games_playstation,video-games_retro-gaming-microconsoles,electronics_camera-photo,electronics_vehicle-electronics,electronics_television-video,electronics_headphones,electronics_computers-accessories,grocery-and-gourmet-food_candy,grocery-and-gourmet-food_snack-foods,grocery-and-gourmet-food_beverages,grocery-and-gourmet-food_cooking-baking,grocery-and-gourmet-food_herbs-spices-seasonings,arts-crafts-and-sewing_painting-drawing-art-print,arts-crafts-and-sewing_sewing,arts-crafts-and-sewing_beading-jewelry-making,arts-crafts-and-sewing_crafting,arts-crafts-and-sewing_knitting-crochet,musical-instruments_studio-recording,musical-instruments_guitars,musical-instruments_other-instruments,musical-instruments_microphones,musical-instruments_instrument-accessories
video-games_xbox,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
video-games_nintendo,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
video-games_pc,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
video-games_playstation,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
video-games_retro-gaming-microconsoles,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
electronics_camera-photo,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
electronics_vehicle-electronics,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
electronics_television-video,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
electronics_headphones,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
electronics_computers-accessories,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grocery-and-gourmet-food_candy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grocery-and-gourmet-food_snack-foods,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
grocery-and-gourmet-food_beverages,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
grocery-and-gourmet-food_cooking-baking,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
grocery-and-gourmet-food_herbs-spices-seasonings,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
arts-crafts-and-sewing_painting-drawing-art-print,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
arts-crafts-and-sewing_sewing,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
arts-crafts-and-sewing_beading-jewelry-making,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
arts-crafts-and-sewing_crafting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
arts-crafts-and-sewing_knitting-crochet,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
musical-instruments_studio-recording,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
musical-instruments_guitars,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
musical-instruments_other-instruments,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
musical-instruments_microphones,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
musical-instruments_instrument-accessories,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
