,cs,civil,ece,mae,medical,psychology,biochemistry,cs_symbolic-computation,cs_computer-vision,cs_computer-graphics,cs_operating-systems,cs_machine-learning,cs_data-structures,cs_network-security,cs_image-processing,cs_parallel-computing,cs_distributed-computing,cs_algorithm-design,cs_computer-programming,cs_relational-databases,cs_software-engineering,cs_bioinformatics,cs_cryptography,cs_structured-storage,civil_green-building,civil_water-pollution,civil_smart-material,civil_ambient-intelligence,civil_construction-management,civil_suspension-bridge,civil_geotextile,civil_stealth-technology,civil_solar-energy,civil_remote-sensing,civil_rainwater-harvesting,ece_electric-motor,ece_satellite-radio,ece_digital-control,ece_microcontroller,ece_electrical-network,ece_electrical-generator,ece_electricity,ece_operational-amplifier,ece_analog-signal-processing,ece_state-space-representation,ece_signalflow-graph,ece_electrical-circuits,ece_lorentz-force-law,ece_system-identification,ece_pid-controller,ece_voltage-law,ece_control-engineering,mae_fluid-mechanics,mae_hydraulics,mae_computeraided-design,mae_manufacturing-engineering,mae_machine-design,mae_thermodynamics,mae_materials-engineering,mae_strength-of-materials,mae_internal-combustion-engine,medical_alzheimers-disease,medical_parkinsons-disease,medical_sprains-and-strains,medical_cancer,medical_sports-injuries,medical_senior-health,medical_multiple-sclerosis,medical_hepatitis-c,medical_weight-loss,medical_low-testosterone,medical_fungal-infection,medical_diabetes,medical_parenting,medical_birth-control,medical_heart-disease,medical_allergies,medical_menopause,medical_emergency-contraception,medical_skin-care,medical_myelofibrosis,medical_hypothyroidism,medical_headache,medical_overactive-bladder,medical_irritable-bowel-syndrome,medical_polycythemia-vera,medical_atrial-fibrillation,medical_smoking-cessation,medical_lymphoma,medical_asthma,medical_bipolar-disorder,medical_crohns-disease,medical_idiopathic-pulmonary-fibrosis,medical_mental-health,medical_dementia,medical_rheumatoid-arthritis,medical_osteoporosis,medical_medicare,medical_psoriatic-arthritis,medical_addiction,medical_atopic-dermatitis,medical_digestive-health,medical_healthy-sleep,medical_anxiety,medical_psoriasis,medical_ankylosing-spondylitis,medical_childrens-health,medical_stress-management,medical_hivaids,medical_depression,medical_migraine,medical_osteoarthritis,medical_hereditary-angioedema,medical_kidney-health,medical_autism,medical_schizophrenia,psychology_prenatal-development,psychology_attention,psychology_eating-disorders,psychology_borderline-personality-disorder,psychology_prosocial-behavior,psychology_false-memories,psychology_problemsolving,psychology_prejudice,psychology_antisocial-personality-disorder,psychology_nonverbal-communication,psychology_leadership,psychology_child-abuse,psychology_gender-roles,psychology_depression,psychology_social-cognition,psychology_seasonal-affective-disorder,psychology_person-perception,psychology_media-violence,psychology_schizophrenia,biochemistry_molecular-biology,biochemistry_enzymology,biochemistry_southern-blotting,biochemistry_northern-blotting,biochemistry_human-metabolism,biochemistry_polymerase-chain-reaction,biochemistry_immunology,biochemistry_genetics,biochemistry_cell-biology,biochemistry_dnarna-sequencing
cs_symbolic-computation,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs_computer-vision,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs_computer-graphics,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs_operating-systems,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs_machine-learning,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs_data-structures,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs_network-security,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs_image-processing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs_parallel-computing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs_distributed-computing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs_algorithm-design,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
